N,ACC,NMI,ARI
200,0.6842333333333334,0.5772540066076061,0.47511454640865947
500,0.6246166666666667,0.5897827472337955,0.4345429171556485
1000,0.5093,0.5219253746353486,0.3478009625353316
2000,0.5994333333333334,0.5812350576829707,0.4104657653994362
5000,0.65345,0.5978196373376591,0.47026889990362364
10000,0.7324333333333334,0.6343486996642307,0.5427083621547658
20000,0.7430333333333333,0.6463133228912304,0.5275038533491103
