N,ACC,NMI,ARI

200,0.5475,0.5949632119005571,0.38650819569218875

2000,0.7264333333333334,0.6208167412241515,0.5208853854078406

5000,0.6235666666666667,0.591680608231499,0.4363972091776591

20000,0.6530333333333334,0.6194599160090549,0.47233545152303236


