N,ACC,NMI,ARI
200,0.6909666666666666,0.6005468313504941,0.47907633424247154
500,0.6677,0.6020360689232248,0.4932586098681525
1000,0.7159666666666666,0.6391646021893049,0.5619848682247659
2000,0.76315,0.6499810269710754,0.5721240076717463
5000,0.7332333333333333,0.6389236046659786,0.5437184376234794
10000,0.7290833333333333,0.6350843375265648,0.5458637858912236
20000,0.74035,0.6440797126623948,0.5562616896764612
