N,ACC,NMI,ARI
200,0.6947833333333333,0.6147458110903141,0.5153377525917149
500,0.5395166666666666,0.577720697550417,0.4118242545898224
1000,0.51685,0.5480168177344841,0.3603394375411224
2000,0.49696666666666667,0.5562695129344917,0.38160683371637366
5000,0.6163166666666666,0.5737160219772407,0.4215177487742281
10000,0.6597666666666666,0.6263348643082596,0.4727249837044853
20000,0.10523333333333333,0.000297875033163502,3.0041322191541806e-06
